,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size
233,1.941667,-128.287094,88.141647,31.877262,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
234,1.95,-128.236649,88.147964,31.859535,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
235,1.958333,-128.223389,88.146637,31.847807,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
236,1.966667,-128.170151,88.155708,31.82984,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
237,1.975,-128.000305,88.189529,31.808134,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
238,1.983333,-128.024872,88.18824,31.795492,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
239,1.991667,-127.98101,88.20137,31.779221,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
240,2,-127.862274,88.22728,31.757858,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
241,2.008333,-127.764961,88.250008,31.737679,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
242,2.016667,-127.806046,88.250214,31.731705,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
243,2.025,-127.876297,88.234558,31.724686,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
244,2.033333,-127.853668,88.243446,31.717808,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
245,2.041667,-127.795425,88.261444,31.705618,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
246,2.05,-127.768936,88.275345,31.694824,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
247,2.058333,-127.781715,88.275948,31.688536,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
248,2.066667,-127.752174,88.293282,31.677828,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
249,2.075,-127.718842,88.310913,31.667105,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
250,2.083333,-127.72274,88.321587,31.658569,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
251,2.091667,-127.716484,88.334839,31.649267,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
252,2.1,-127.73098,88.345078,31.643768,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
